uf;tipo_de_crime;ano;qtd;taxa_100mil_hab
SE;Despesas empenhadas na Função Segurança Pública;2016;942150394.015292;41581742.7037364
GO;Despesas empenhadas na Função Segurança Pública;2016;3455909972.03091;51612676.3801025
MT;Despesas empenhadas na Função Segurança Pública;2016;2085541434.84387;63092478.4805791
MS;Despesas empenhadas na Função Segurança Pública;2016;1459525449.26709;54411462.3796535
DF;Despesas empenhadas na Função Segurança Pública;2016;812247442.306363;27282113.3000213
ES;Despesas empenhadas na Função Segurança Pública;2016;1503902324.60185;37846426.7557855
MG;Despesas empenhadas na Função Segurança Pública;2016;10200578719.8449;48579828.8936661
SP;Despesas empenhadas na Função Segurança Pública;2016;12623118259113;28208275.2313328
RJ;Despesas empenhadas na Função Segurança Pública;2016;10516679721.3634;63216411.6976426
PR;Despesas empenhadas na Função Segurança Pública;2016;4378226997.01956;38942773.60834
RS;Despesas empenhadas na Função Segurança Pública;2016;3830293517.8003;33936946.9525566
SC;Despesas empenhadas na Função Segurança Pública;2016;2504618356.26466;36243385.3884727
Brasil;Despesas empenhadas na Função Segurança Pública;2016;77269927390.1617;37488915.0046036
AC;Despesas empenhadas na Função Segurança Pública;2017;568361392.437697;68508724.1779295
AP;Despesas empenhadas na Função Segurança Pública;2017;500226894.860926;62706919.8117798
AM;Despesas empenhadas na Função Segurança Pública;2017;1578956656.67035;38855970.4900699
PA;Despesas empenhadas na Função Segurança Pública;2017;2579915982.33853;30835791.6993385
RO;Despesas empenhadas na Função Segurança Pública;2017;895867664.429872;49610899.1991237
RR;Despesas empenhadas na Função Segurança Pública;2017;440123923.168265;84212324.2884657
TO;Despesas empenhadas na Função Segurança Pública;2017;898651659.69014;57970270.7977286
AL;Despesas empenhadas na Função Segurança Pública;2017;1244519570.96542;36865664.1940473
BA;Despesas empenhadas na Função Segurança Pública;2017;4569076407.12577;29776742.0821732
CE;Despesas empenhadas na Função Segurança Pública;2017;2400234787.32591;26608784.7773385
MA;Despesas empenhadas na Função Segurança Pública;2017;1764787875.91502;25210430.628984
PB;Despesas empenhadas na Função Segurança Pública;2017;1295206823.53163;32174591.0388479
PE;Despesas empenhadas na Função Segurança Pública;2017;2807873646.5289;29639974.7091331
PI;Despesas empenhadas na Função Segurança Pública;2017;792976805.799469;24632292.6625451
RN;Despesas empenhadas na Função Segurança Pública;2017;983317470.216289;28038683.4632388
SE;Despesas empenhadas na Função Segurança Pública;2017;938500636.51489;41016304.9650844
GO;Despesas empenhadas na Função Segurança Pública;2017;3084743655.94478;45505936.1185888
MT;Despesas empenhadas na Função Segurança Pública;2017;2118650745.11664;63346475.4871409
MS;Despesas empenhadas na Função Segurança Pública;2017;1487222153.22115;54815391.6179679
DF;Despesas empenhadas na Função Segurança Pública;2017;909791591.718385;29932829.5477194
ES;Despesas empenhadas na Função Segurança Pública;2017;1515639319.35364;37736677.70869
MG;Despesas empenhadas na Função Segurança Pública;2017;10184395518.2224;48222629.1251021
SP;Despesas empenhadas na Função Segurança Pública;2017;12833788528.0893;28459533.5710483
RJ;Despesas empenhadas na Função Segurança Pública;2017;9517643874.00961;56927261.9295703
PR;Despesas empenhadas na Função Segurança Pública;2017;4832395417.63838;42685641.8879217
RS;Despesas empenhadas na Função Segurança Pública;2017;4242065267.4271;37464493.5542288
SC;Despesas empenhadas na Função Segurança Pública;2017;2499202655.28564;35696974.4773137
Brasil;Despesas empenhadas na Função Segurança Pública;2017;77484136923.5461;37312814.3539924
AC;Despesas empenhadas na Função Segurança Pública;2018;627350849.500468;72170264.4763643
AP;Despesas empenhadas na Função Segurança Pública;2018;489227978.638831;58979085.8811312
AM;Despesas empenhadas na Função Segurança Pública;2018;1862668906.56309;45646813.8365331
PA;Despesas empenhadas na Função Segurança Pública;2018;2903200194.44091;34101147.7943895
RO;Despesas empenhadas na Função Segurança Pública;2018;903253857.465201;51391642.6118507
RR;Despesas empenhadas na Função Segurança Pública;2018;405445804.721826;70320552.7746643
TO;Despesas empenhadas na Função Segurança Pública;2018;939626723.713274;60417258.4045998
AL;Despesas empenhadas na Função Segurança Pública;2018;1251228766.10829;37655628.8365993
BA;Despesas empenhadas na Função Segurança Pública;2018;4601027227.72956;31061541.844561
CE;Despesas empenhadas na Função Segurança Pública;2018;2763339422.50427;30447843.7024643
MA;Despesas empenhadas na Função Segurança Pública;2018;1980318301.81979;28149293.8124833
PB;Despesas empenhadas na Função Segurança Pública;2018;1352971532.80967;33853944.3755146
PE;Despesas empenhadas na Função Segurança Pública;2018;2971231514.8264;31288326.9497174
PI;Despesas empenhadas na Função Segurança Pública;2018;799000413.121507;24475197.6048476
RN;Despesas empenhadas na Função Segurança Pública;2018;1045736468.81114;30058449.6397291
SE;Despesas empenhadas na Função Segurança Pública;2018;956072434.576949;41964143.3281606
GO;Despesas empenhadas na Função Segurança Pública;2018;3643160832.40105;52638001.5202803
MT;Despesas empenhadas na Função Segurança Pública;2018;2204075320.6136;64034764.7097296
MS;Despesas empenhadas na Função Segurança Pública;2018;1233863810.05451;44900053.9680531
DF;Despesas empenhadas na Função Segurança Pública;2018;905006405.903554;30423420.6205982
ES;Despesas empenhadas na Função Segurança Pública;2018;1575667351.99976;39665494.709977
MG;Despesas empenhadas na Função Segurança Pública;2018;9905974933.53402;47080148.5881672
SP;Despesas empenhadas na Função Segurança Pública;2018;12259800261.6458;26921578.1889279
RJ;Despesas empenhadas na Função Segurança Pública;2018;10222454879.8651;59571554.2452612
PR;Despesas empenhadas na Função Segurança Pública;2018;4159686904.15705;36652656.5805859
RS;Despesas empenhadas na Função Segurança Pública;2018;4835823408.76718;42683071.5525138
SC;Despesas empenhadas na Função Segurança Pública;2018;2484836333.71619;35118909.4883861
Brasil;Despesas empenhadas na Função Segurança Pública;2018;79282050840009;38025894.561454
AC;Despesas empenhadas na Função Segurança Pública;2019;692570200.340636;78528485.6979977
AP;Despesas empenhadas na Função Segurança Pública;2019;606366325.291076;71697303.9052697
AM;Despesas empenhadas na Função Segurança Pública;2019;2108459954.53634;50872496.2773543
PA;Despesas empenhadas na Função Segurança Pública;2019;2943447535.91824;34214735.8573944
RO;Despesas empenhadas na Função Segurança Pública;2019;853970999.515821;48050809.5213505
RR;Despesas empenhadas na Função Segurança Pública;2019;288197942.221982;47576179.751087
TO;Despesas empenhadas na Função Segurança Pública;2019;1119190085.66782;71156098.8455357
AL;Despesas empenhadas na Função Segurança Pública;2019;1159158819.28763;34732838.5691919
BA;Despesas empenhadas na Função Segurança Pública;2019;4682403355.77004;31482439.366697
CE;Despesas empenhadas na Função Segurança Pública;2019;2842359793.73562;31125005.6529918
MA;Despesas empenhadas na Função Segurança Pública;2019;2003659796.09261;28319555.303145
PB;Despesas empenhadas na Função Segurança Pública;2019;1386240450.04575;34499667.3834787
PE;Despesas empenhadas na Função Segurança Pública;2019;2985145287.17494;31234938.896812
PI;Despesas empenhadas na Função Segurança Pública;2019;893295942.373488;27290986.6127063
RN;Despesas empenhadas na Função Segurança Pública;2019;1203684063.05019;34323767.2936445
SE;Despesas empenhadas na Função Segurança Pública;2019;989128393.432674;43029978.4500723
GO;Despesas empenhadas na Função Segurança Pública;2019;3839270038.56778;54703282.8291047
MT;Despesas empenhadas na Função Segurança Pública;2019;2486875991.6951;71370361.8200064
MS;Despesas empenhadas na Função Segurança Pública;2019;1259368696.24396;45317561.7381289
DF;Despesas empenhadas na Função Segurança Pública;2019;931987487.316074;30908943.6599358
